,blue1,blue2,bluescore,red1,red2,redscore
634,5297B,88895A,16,11101A,27205A,17
635,56411V,43426C,9,95070D,315Y,24
636,43427A,974D,14,88909D,5297D,10
637,99157A,824A,3,7209F,21246X,21
638,3141R,48277B,15,95070A,8838E,16
639,45112A,88909Y,31,5297A,90069A,4
640,87895A,9537B,7,21246W,9537C,31
641,8838C,21246E,9,84710B,94065J,22
642,27517A,2055X,26,5297B,311E,7
643,2882R,56411V,19,9537A,95070C,16
644,7209B,8153A,16,974D,83490A,13
645,10182A,1868K,29,7209E,70790A,5
646,43426C,3324A,18,99157A,935R,6
647,83009B,95070B,21,88909Y,31811C,18
648,43426B,87895A,1,5556C,3324V,34
649,94065J,90069A,15,88909X,9537D,19
650,5297C,95070A,2,88909A,8838B,34
651,84710B,9537C,16,8838A,48277B,12
652,8838E,88909D,29,48277G,7209F,6
653,315Y,21246X,25,11729A,94927A,11
654,43427B,45112A,2,88895A,43427A,30
655,5297A,27205A,15,43427C,15234A,21
656,985C,824A,15,6293D,95070D,11
657,5297D,21246W,16,3141R,8838D,11
658,42111N,11101A,24,9537B,43426A,7
659,95070A,95070C,10,88909X,315Y,26
660,985C,21246X,13,7209B,21246W,9
661,10182A,1868K,8,8838E,88909Y,24
662,95070B,95070D,17,8153A,27517A,22
663,31811C,43426C,0,83009B,9537C,32
664,8838B,11101A,17,9537D,94065J,19
665,311E,56411V,4,3324A,3324V,24
666,88909A,88909D,18,42111N,3141R,25
667,985C,21246X,1,88909X,315Y,27
668,8153A,27517A,20,8838E,88909Y,18
669,9537D,94065J,19,83009B,9537C,11
670,42111N,3141R,10,3324A,3324V,14
671,8153A,27517A,11,88909X,315Y,22
672,3324A,3324V,14,9537D,94065J,12
673,3324A,3324V,16,88909X,315Y,20
674,5059B,90115G,10,99561E,19387C,13
675,66640B,82351A,20,38211A,10504B,14
676,6277A,97140B,16,99588X,3575A,5
677,68602B,66640A,8,97140A,19387A,26
678,99588C,19387B,21,3575B,98456B,11
679,8354A,99561G,0,9458F,90115W,8
680,68602C,6277C,26,99561B,1905A,7
681,9717A,99588A,26,78792A,1353C,9
682,78792B,6277D,20,68602A,9717B,4
683,37686B,99588B,20,10504A,25565B,14
684,94642A,6277E,15,1353A,6277B,21
685,21822A,9458A,0,15239A,9458B,32
686,98456A,99561A,18,99561C,25565A,11
687,99561D,15981A,16,37686A,144D,16
688,99561B,19387C,22,99561G,82351A,11
689,38211A,90115W,16,9717A,66640A,6
690,3575A,1353C,23,25565B,68602C,10
691,10504B,68602B,8,19387B,6277C,18
692,90115G,97140A,11,99588B,99588C,22
693,99561E,10504A,4,98456A,66640B,30
694,6277B,15981A,22,78792B,8354A,11
695,99588X,1353A,30,9458A,19387A,2
696,25565A,144D,12,97140B,21822A,9
697,37686B,9458B,6,6277D,94642A,16
698,15239A,68602A,21,99561D,99561C,6
699,1905A,98456B,5,6277A,5059B,21
700,37686A,9458F,5,99588A,3575B,22
701,78792A,9717B,21,6277E,99561A,10
702,25565B,19387A,16,10504B,99561G,6
703,1353C,19387C,19,19387B,25565A,14
704,3575A,99588C,16,94642A,99561B,15
705,78792B,90115W,18,68602B,9458A,11
706,99588X,68602C,7,99588B,5059B,22
707,82351A,6277A,24,37686A,8354A,8
708,98456A,68602A,12,90115G,9717A,9
709,9458B,78792A,23,1353A,98456B,10
710,6277B,99561C,26,9717B,10504A,7
711,66640A,99561A,18,37686B,99588A,16
712,99561E,6277C,23,6277E,99561D,6
713,97140A,144D,9,1905A,15239A,15
714,3575B,6277D,11,97140B,66640B,26
715,38211A,21822A,10,15981A,9458F,19
716,90115G,78792A,14,82351A,99588X,13
717,9717A,10504B,5,9458A,99588C,28
718,10504A,19387B,11,99561A,99561G,23
719,99561D,99588B,27,78792B,3575A,12
720,9717B,99561B,19,68602B,99588A,13
721,19387A,25565A,11,37686B,8354A,8
722,3575B,99561C,5,94642A,38211A,25
723,66640B,5059B,17,66640A,15239A,14
724,9458F,6277E,21,9458B,19387C,10
725,6277D,6277A,30,6277C,144D,5
726,1353A,1905A,9,98456A,15981A,20
727,25565B,37686A,17,90115W,21822A,9
728,98456B,68602A,4,99561E,1353C,23
729,68602C,97140B,9,6277B,97140A,25
730,99561G,9458A,12,99561C,37686B,8
731,8354A,66640A,12,99588X,99588C,23
732,66640B,6277E,20,144D,99561B,13
733,25565A,10504B,19,15981A,10504A,6
734,1353A,9458F,18,9717A,82351A,4
735,6277C,98456B,24,90115G,90115W,8
736,19387A,5059B,13,68602A,6277B,18
737,94642A,97140B,13,1905A,78792B,16
738,3575B,98456A,10,78792A,68602C,20
739,99588B,9717B,8,99561E,9458B,24
740,99588A,19387B,26,38211A,3575A,6
741,97140A,99561D,12,6277A,25565B,26
742,15239A,19387C,11,6277D,37686A,18
743,99561A,68602B,11,1353C,21822A,15
744,99588X,99561C,23,98456B,6277E,8
745,99561B,15981A,16,3575B,5059B,16
746,1905A,9458A,6,25565A,6277B,24
747,99561G,99588B,24,97140B,66640A,12
748,94642A,66640B,25,19387B,99561D,14
749,99588C,82351A,13,6277C,99588A,23
750,78792B,21822A,12,19387A,68602C,15
751,37686B,37686A,7,68602B,9717A,14
752,38211A,6277A,30,78792A,19387C,9
753,9458B,144D,28,10504A,90115G,5
754,99561E,90115W,4,1353A,15239A,25
755,10504B,3575A,7,99561A,68602A,22
756,8354A,25565B,14,98456A,9717B,12
757,9458F,1353C,2,6277D,97140A,25
758,6277E,78792B,19,5059B,82351A,14
759,99561B,37686A,6,25565A,78792A,31
760,6277B,9717A,13,19387C,144D,8
761,19387B,66640A,21,99561E,99561C,13
762,99561D,37686B,15,1353A,90115G,15
763,68602A,10504A,4,8354A,68602C,15
764,99588X,15239A,33,3575B,68602B,2
765,19387A,98456B,5,9458F,99588B,20
766,99588A,1905A,6,10504B,6277D,14
767,3575A,6277C,21,21822A,99561G,5
768,9458A,25565B,16,99561A,15981A,12
769,9717B,1353C,6,6277A,94642A,33
770,90115W,97140A,15,66640B,9458B,15
771,98456A,38211A,10,99588C,97140B,22
772,9458B,5059B,22,9458F,1353A,13
773,99561A,19387B,15,99588C,97140A,24
774,94642A,99588X,21,25565B,9458A,9
775,78792B,6277E,9,78792A,25565A,21
776,9458B,5059B,5,6277B,6277C,27
777,99588C,97140A,7,6277D,15239A,25
778,94642A,99588X,14,6277A,66640B,20
779,78792A,25565A,13,99588B,99588A,20
780,6277D,15239A,25,6277B,6277C,9
781,99588B,99588A,26,6277A,66640B,12
782,99588B,99588A,14,6277D,15239A,11
783,8642A,91851A,3,5509A,14888D,32
784,3636F,3636B,6,4410B,1790C,21
785,4082B,14888C,16,4410C,6001D,6
786,14888B,4869A,16,62450A,1200Z,17
787,1790B,19169A,8,3636C,4848A,24
788,3636E,1200F,8,53201A,536G,17
789,83398A,1200A,25,6422A,54547M,11
790,1200B,4869B,17,526A,9875W,12
791,536E,536D,26,31077A,6001E,10
792,526B,1790A,35,14888A,536A,1
793,1057A,5509G,6,1790D,4848X,17
794,536B,4410B,12,536C,5509B,21
795,6422A,14888B,21,1790B,1200F,10
796,53201A,526A,11,14888C,8642A,9
797,3636C,5509A,23,4082B,1790A,8
798,536A,54547M,16,4869A,1057A,15
799,536C,536G,22,4848A,5509G,16
800,9875W,1790D,6,536B,526B,15
801,62450A,5509B,23,83398A,3636B,9
802,14888A,31077A,9,1200Z,19169A,26
803,4869B,536D,3,91851A,1200A,26
804,4848X,4410C,17,536E,1200B,17
805,6001E,1790C,3,3636E,14888D,28
806,536G,536B,21,6001D,3636F,10
807,4410B,31077A,19,1790D,62450A,10
808,526B,53201A,10,14888B,536D,24
809,4848A,1200B,21,1200F,14888C,16
810,6001E,4869A,5,3636B,1790A,31
811,14888D,4410C,19,1057A,6422A,12
812,9875W,83398A,12,14888A,3636C,14
813,5509G,3636F,14,91851A,1790B,9
814,526A,536E,26,19169A,3636E,7
815,1200Z,536A,27,8642A,4869B,3
816,4848X,4082B,3,1790C,1200A,23
817,6001D,5509A,8,536C,54547M,26
818,14888D,526B,10,5509B,31077A,22
819,14888C,14888A,2,4410B,91851A,24
820,1057A,19169A,20,83398A,53201A,12
821,1790B,62450A,6,536D,536B,32
822,54547M,536G,8,4082B,536E,24
823,3636E,8642A,10,6001D,1790A,29
824,3636B,1200F,8,4848X,5509A,18
825,14888B,5509G,8,4410C,6001E,28
826,536C,6422A,20,4869A,4869B,9
827,1200A,1200Z,19,3636F,1200B,13
828,3636C,1790D,3,526A,536A,32
829,5509B,1790C,21,4848A,9875W,14
830,6001D,53201A,23,4848X,62450A,11
831,536E,1057A,13,526B,5509A,11
832,1790A,1200B,18,4410B,83398A,14
833,1200Z,536C,15,3636E,3636C,14
834,3636F,14888A,9,5509B,4869B,20
835,54547M,1790C,17,8642A,1790B,6
836,536D,19169A,13,1200F,536A,14
837,14888C,31077A,14,5509G,1200A,27
838,91851A,4410C,22,9875W,3636B,4
839,14888D,4848A,13,14888B,536B,14
840,6001E,6422A,3,536G,1790D,19
841,4082B,1790B,13,526A,4869A,13
842,4410B,536A,3,536E,5509G,27
843,3636C,1790C,7,4410C,536D,27
844,6001D,4869B,16,1057A,31077A,11
845,3636E,83398A,7,5509A,3636F,30
846,9875W,19169A,18,4082B,6422A,20
847,5509B,4848X,20,14888C,14888B,7
848,1200F,91851A,6,536B,54547M,25
849,4869A,8642A,9,1200B,536G,14
850,1790A,1790D,22,53201A,14888D,12
851,3636B,1200A,6,526B,536C,21
852,62450A,4848A,7,6001E,14888A,18
853,4410B,5509A,19,526A,1200Z,11
854,536B,4410C,28,83398A,8642A,4
855,14888B,1057A,21,3636E,4082B,12
856,3636C,1200B,24,3636B,53201A,9
857,536G,536A,7,14888D,1790B,22
858,14888C,4869B,9,54547M,6001E,14
859,1200A,14888A,15,1790D,4869A,10
860,536C,536E,36,3636F,1200F,5
861,526A,1790A,31,4848X,31077A,6
862,526B,4848A,20,6422A,6001D,8
863,5509B,5509G,17,536D,1200Z,7
864,91851A,62450A,6,19169A,1790C,30
865,54547M,3636F,2,9875W,14888B,25
866,83398A,4082B,24,4869B,1790D,9
867,1200F,6001E,8,1200A,3636C,24
868,1200Z,14888D,17,536E,6001D,18
869,4869A,3636E,16,91851A,4848A,7
870,62450A,14888C,9,1790A,1057A,19
871,1790B,5509A,20,1200B,5509B,12
872,4848X,9875W,16,4410B,536D,18
873,8642A,5509G,16,19169A,526B,18
874,6422A,536B,16,536A,1790C,18
875,53201A,31077A,6,4410C,536C,33
876,3636B,526A,9,14888A,536G,20
877,4869B,1790D,4,536C,4410C,36
878,536D,54547M,9,14888B,14888D,17
879,19169A,14888A,2,5509B,4410B,30
880,526A,53201A,6,1200A,536A,23
881,6001D,4848X,6,536E,1200Z,33
882,526B,6001E,5,1790C,1200B,24
883,1057A,5509G,9,1790A,5509A,29
884,3636C,4082B,12,536G,536B,18
885,14888B,14888D,3,536C,4410C,33
886,1200A,536A,6,5509B,4410B,20
887,1790C,1200B,5,536E,1200Z,30
888,536G,536B,4,1790A,5509A,29
889,5509B,4410B,15,536C,4410C,10
890,1790A,5509A,7,536E,1200Z,21
891,536E,1200Z,19,5509B,4410B,8
892,8349K,6135X,19,8349A,8349S,11
893,97834A,6135F,29,63500B,97834D,8
894,9364Y,7460C,17,97834C,9364X,13
895,98090B,650B,6,98090A,7460D,26
896,650N,8349Z,6,650K,6135K,29
897,7460A,97834G,20,97834B,63500W,12
898,650S,8349F,4,8349B,7460B,20
899,5454X,9364A,20,74602A,650R,12
900,8349E,7460E,27,98090D,8349C,6
901,98090A,6135K,27,63500B,6135X,5
902,9364X,97834B,32,650S,97834D,4
903,650K,8349A,15,9364A,7460A,22
904,63500W,7460C,14,8349Z,8349K,25
905,650R,98090D,6,6135F,8349F,27
906,8349B,8349C,29,650N,5454X,6
907,7460D,8349S,10,8349E,97834A,27
908,7460B,650B,5,97834G,9364Y,22
909,74602A,97834C,22,98090B,7460E,10
910,63500B,7460A,15,8349C,9364X,21
911,8349B,650K,32,6135F,8349S,4
912,9364A,6135K,31,97834A,650S,4
913,97834B,7460D,20,74602A,6135X,19
914,7460E,9364Y,34,63500W,5454X,1
915,8349F,8349E,26,650B,8349Z,7
916,98090D,98090B,8,7460C,8349A,28
917,97834D,7460B,9,650R,98090A,15
918,8349K,97834C,26,650N,97834G,13
919,650S,74602A,10,8349E,6135F,32
920,8349C,9364Y,25,98090B,650K,5
921,63500W,8349A,7,7460D,6135K,28
922,97834A,9364X,27,7460E,650B,5
923,98090A,5454X,6,8349K,97834B,17
924,97834D,650N,2,8349F,7460A,24
925,63500B,8349S,21,7460B,98090D,8
926,650R,97834G,1,8349B,7460C,35
927,8349Z,6135X,11,9364A,97834C,21
928,650B,650K,10,5454X,650S,19
929,8349S,8349F,22,7460E,98090A,17
930,97834D,7460D,0,8349B,9364Y,40
931,8349E,7460A,32,97834C,650R,2
932,8349A,97834G,14,97834A,8349Z,21
933,74602A,98090D,0,6135K,8349K,36
934,8349C,6135F,27,7460C,7460B,4
935,97834B,9364A,24,63500B,98090B,9
936,9364X,63500W,21,650N,6135X,12
937,650R,650N,1,8349B,8349E,35
938,98090A,63500B,9,7460C,74602A,28
939,8349Z,8349A,10,9364Y,9364X,23
940,650K,6135X,9,97834A,97834B,18
941,63500W,7460B,1,9364A,6135K,33
942,7460D,7460E,12,6135F,8349C,22
943,5454X,650S,7,8349K,97834C,27
944,8349S,97834G,1,7460A,8349F,32
945,7460C,74602A,2,8349B,8349E,36
946,97834A,97834B,7,9364Y,9364X,17
947,6135F,8349C,10,9364A,6135K,19
948,7460A,8349F,22,8349K,97834C,9
949,9364Y,9364X,6,8349B,8349E,21
950,7460A,8349F,2,9364A,6135K,29
951,9364A,6135K,16,8349B,8349E,17
952,8878B,4478V,25,5150G,18891A,10
953,4478B,4478S,3,162A,8878D,24
954,39545A,17814C,7,790X,1930C,12
955,50005X,5150D,21,1188B,1618A,10
956,4478C,8878C,7,13085B,1697A,18
957,17814B,4478A,8,3157N,1930A,14
958,4478X,17814Y,20,55550W,1188A,15
959,9909B,42243A,13,5150E,5150F,20
960,1930D,12345A,14,877H,877Z,10
961,17814X,68110G,11,1930E,8370A,28
962,93896A,55550X,9,8878F,4478Y,20
963,13085A,17814W,10,8878E,12345B,20
964,4478E,9909A,8,17814Z,4478D,19
965,5150J,5150H,10,1695B,8878G,20
966,6433A,71441A,6,8878A,17814D,19
967,8878D,39545A,14,4577A,1930B,11
968,1930E,4478A,13,8878C,50005X,17
969,1188B,1930C,13,4478S,42243A,13
970,877H,1188A,6,5150D,5150F,27
971,5150G,55550W,22,9909A,1618A,12
972,8878G,8878B,4,17814Y,68110G,19
973,5150H,162A,14,6433A,1930D,9
974,4478Y,18891A,24,1930B,1930A,11
975,4478D,5150E,26,17814D,1695B,11
976,790X,8878F,21,17814B,17814W,7
977,12345B,1697A,9,12345A,8370A,13
978,8878A,17814Z,13,9909B,3157N,19
979,17814X,13085A,17,4478E,4478C,17
980,13085B,55550X,3,4478V,71441A,30
981,877Z,4478B,9,4478X,17814C,17
982,4577A,8878E,13,5150J,93896A,18
983,1930A,1188A,1,8878D,5150E,26
984,1188B,55550W,18,8878F,1697A,9
985,1930B,17814D,13,17814W,8878C,16
986,5150F,162A,15,39545A,4478E,9
987,18891A,42243A,18,17814X,17814Y,12
988,8878G,4478X,17,877H,13085A,11
989,1695B,877Z,8,1930E,4478C,11
990,13085B,4577A,3,4478A,4478Y,27
991,1618A,1930C,9,4478B,5150H,13
992,4478S,5150J,25,12345B,9909B,10
993,5150D,8878E,32,17814Z,6433A,4
994,17814C,8370A,11,8878B,55550X,17
995,3157N,5150G,27,50005X,1930D,9
996,4478V,9909A,30,17814B,68110G,6
997,4478D,71441A,25,12345A,93896A,8
998,42243A,1930A,3,790X,8878A,24
999,5150F,8878C,16,877Z,4478S,9
1000,13085A,13085B,12,4478B,1188B,18
1001,18891A,162A,20,4577A,1188A,13
1002,17814D,8878D,16,1930D,17814Z,9
1003,17814B,39545A,2,55550W,5150D,32
1004,3157N,68110G,27,93896A,4478E,10
1005,1695B,17814W,9,12345A,4478X,24
1006,4478C,8878B,6,4478D,4478A,24
1007,8370A,8878F,13,1930C,17814Y,12
1008,50005X,1930B,8,8878E,5150E,26
1009,8878A,1697A,9,55550X,8878G,16
1010,6433A,1618A,3,4478V,877H,28
1011,9909B,1930E,22,5150H,17814C,3
1012,5150G,5150J,33,71441A,17814X,6
1013,4478Y,12345B,6,9909A,790X,30
1014,17814W,55550W,28,42243A,8878B,3
1015,4478E,1930D,13,18891A,1695B,23
1016,17814Y,1697A,11,3157N,8878E,18
1017,1930A,4478B,18,8370A,39545A,8
1018,4478V,1930B,23,1930C,1188A,11
1019,68110G,5150D,18,5150G,13085A,21
1020,790X,93896A,26,1188B,4478A,8
1021,17814C,71441A,11,8878C,8878F,16
1022,4478Y,5150E,26,17814B,1930E,6
1023,1618A,4478X,18,13085B,4478S,15
1024,8878G,4478D,18,8878D,5150F,12
1025,12345A,9909B,20,4577A,55550X,7
1026,9909A,17814D,8,5150H,877Z,21
1027,17814Z,50005X,16,12345B,17814X,12
1028,877H,4478C,11,162A,8878A,22
1029,18891A,1188B,9,5150J,6433A,24
1030,8878C,3157N,22,4478Y,4478B,10
1031,5150E,4478S,30,68110G,17814W,3
1032,4478X,4478A,18,5150G,42243A,12
1033,1930C,9909B,19,55550W,17814D,8
1034,8370A,17814Z,12,8878G,93896A,7
1035,17814X,8878E,10,39545A,13085B,16
1036,790X,12345A,18,5150J,17814Y,9
1037,1695B,12345B,19,1930A,8878B,12
1038,17814B,4478E,11,877H,1930B,15
1039,5150H,5150F,22,1697A,71441A,8
1040,1930D,55550X,6,1618A,4478C,18
1041,8878A,8878D,8,4478V,50005X,28
1042,1930E,1188A,8,13085A,8878F,20
1043,6433A,4577A,13,9909A,17814C,12
1044,877Z,5150D,14,162A,4478D,20
1045,17814Z,17814Y,1,4478D,4478E,32
1046,55550W,9909B,17,8878C,8878D,14
1047,8878G,4478Y,0,3157N,5150G,40
1048,8878E,8878B,21,162A,12345A,10
1049,5150H,55550X,6,4478V,5150E,20
1050,8370A,50005X,19,8878F,8878A,12
1051,18891A,1695B,3,4478X,790X,34
1052,5150J,4478B,6,5150F,5150D,22
1053,55550W,9909B,10,4478D,4478E,14
1054,8878E,8878B,11,3157N,5150G,0
1055,8370A,50005X,7,4478V,5150E,23
1056,5150F,5150D,7,4478X,790X,32
1057,8878E,8878B,9,4478D,4478E,26
1058,4478X,790X,16,4478V,5150E,15
1059,4478X,790X,17,4478D,4478E,11
1060,8876C,64040B,13,64040C,8876X,19
1061,8876A,3814B,2,8876D,4305A,25
1062,3814A,8828B,19,12054B,4305B,13
1063,12054A,8828C,5,8876B,64040A,22
1064,8828B,3814B,19,6527A,8828A,10
1065,64040C,8876B,5,3814A,4305A,20
1066,12054B,4305B,23,64040B,8828C,10
1067,6527A,8876D,10,12054A,8876C,12
1068,8876X,64040A,17,8876A,8828A,14
1069,4305A,8876C,14,8876D,4305B,15
1070,8828A,64040B,25,8876B,3814B,5
1071,6527A,8876X,13,3814A,12054B,13
1072,12054A,64040A,17,8828B,64040C,19
1073,3814A,64040B,9,8876A,8828C,13
1074,64040C,12054B,27,8828B,8876B,6
1075,8828A,8876D,12,8876X,8828C,10
1076,4305B,8876A,3,64040A,6527A,28
1077,3814B,4305A,21,8876C,12054A,8
1078,8828B,64040A,20,8876D,64040B,17
1079,8828C,4305A,9,12054A,12054B,15
1080,8876X,8876B,12,3814B,4305B,16
1081,3814A,8828A,12,8876A,8876C,20
1082,8876D,4305B,13,64040C,6527A,14
1083,8876A,12054A,10,8876X,8828B,16
1084,8876B,6527A,12,4305A,64040B,17
1085,64040C,8828C,17,3814A,3814B,11
1086,8876C,12054B,11,8828A,64040A,20
1087,8876D,3814A,4,64040B,12054A,22
1088,8876X,8876B,14,8876C,4305B,14
1089,64040C,8876A,15,12054B,3814B,6
1090,4305A,8828A,18,8828B,8828C,13
1091,3814A,3814B,7,64040A,6527A,23
1092,12054B,8876B,4,8876A,8876D,13
1093,8828C,6527A,8,8828B,8876C,20
1094,12054A,4305B,13,64040C,8828A,19
1095,64040B,64040A,16,4305A,8876X,13
1096,8828C,8876B,5,12054A,3814A,16
1097,12054A,3814A,7,64040A,4305A,22
1098,8876D,8876A,19,8828A,8876C,20
1099,6527A,3814B,6,64040C,64040B,22
1100,4305B,12054B,26,8828B,8876X,6
1101,8828A,8876C,4,64040A,4305A,34
1102,4305B,12054B,10,64040C,64040B,21
1103,64040C,64040B,11,64040A,4305A,25
1104,12H,9883B,23,56736D,63975B,7
1105,4303A,4303D,4,67676C,63975A,25
1106,80708X,83838A,16,4303E,12J,16
1107,4303C,4303B,23,12X,4303X,10
1108,12P,12M,33,4061K,12B,4
1109,1575H,6603F,6,12N,1575X,26
1110,1575D,9883A,17,1575C,6603T,6
1111,46B,1575A,9,9964R,20181X,30
1112,63975C,12P,17,6603A,1575M,14
1113,4303X,56736D,8,12M,4303E,23
1114,63975B,67676C,8,12N,6603T,20
1115,63975A,1575X,21,83838A,46B,7
1116,1575H,20181X,31,9883A,63975C,4
1117,1575C,4061K,9,80708X,4303A,27
1118,12B,12X,13,12H,6603A,19
1119,1575M,4303D,5,9883B,1575A,23
1120,9964R,6603F,4,1575D,4303C,27
1121,63975B,4303A,4,4303B,12J,24
1122,6603A,6603T,5,4061K,83838A,29
1123,63975A,1575A,14,1575C,4303X,12
1124,1575X,4303E,18,4303D,9964R,14
1125,1575D,67676C,25,1575H,12B,10
1126,46B,80708X,25,6603F,12M,8
1127,20181X,12H,22,1575M,4303B,10
1128,4303C,9883A,16,12P,56736D,20
1129,9883B,12J,20,12X,63975C,8
1130,12B,12N,26,4303D,46B,7
1131,4303X,1575M,22,6603F,6603T,9
1132,12M,4303A,6,20181X,4303C,19
1133,12X,80708X,20,12P,67676C,17
1134,1575C,12J,4,12H,9964R,32
1135,6603A,4303E,16,9883A,9883B,9
1136,63975C,1575A,20,63975B,1575X,12
1137,83838A,4303B,10,1575D,12N,28
1138,4061K,56736D,5,1575H,63975A,18
1139,1575M,12B,11,4303E,4303C,19
1140,12M,63975C,12,1575C,4303D,24
1141,9883B,12N,3,12P,4303A,25
1142,9964R,12X,10,1575H,83838A,23
1143,6603A,12J,14,56736D,1575D,20
1144,63975B,20181X,29,63975A,6603F,3
1145,1575X,6603T,12,80708X,12H,25
1146,4303X,46B,25,9883A,4061K,4
1147,4303B,12M,14,1575A,67676C,19
1148,56736D,9964R,16,4303A,63975C,14
1149,4303E,12N,21,63975A,12X,3
1150,9883A,63975B,7,80708X,1575M,24
1151,83838A,4303C,23,67676C,12H,13
1152,6603T,1575H,19,4303B,46B,11
1153,1575D,4061K,13,20181X,4303D,24
1154,1575C,1575X,20,12B,9883B,15
1155,12P,6603F,13,1575A,12J,17
1156,9964R,63975B,16,6603A,4303X,9
1157,12X,6603F,0,20181X,80708X,32
1158,63975A,4303X,16,1575H,83838A,16
1159,63975A,4303X,17,1575H,83838A,13
1160,6603A,12B,14,12H,9964R,11
1161,63975C,63975B,4,12N,12M,19
1162,6603T,4303A,16,4303E,1575X,12
1163,67676C,1575M,15,12P,12J,18
1164,4303B,4303D,18,1575D,4303C,27
1165,9883B,46B,3,1575A,1575C,27
1166,63975A,4303X,4,20181X,80708X,34
1167,12N,12M,28,6603A,12B,3
1168,12P,12J,24,6603T,4303A,12
1169,1575A,1575C,9,1575D,4303C,25
1170,12N,12M,14,20181X,80708X,27
1171,1575D,4303C,10,12P,12J,18
1172,12P,12J,10,20181X,80708X,23
1173,23090A,27286R,7,70565F,70565D,23
1174,8975B,99406A,8,2037C,98014E,13
1175,8975C,98979A,12,98014C,7057B,16
1176,23090B,8383A,6,93060C,98014D,18
1177,99406C,2037E,12,7057D,27286G,15
1178,27286B,27286A,14,70565E,93060B,3
1179,2037C,8975C,14,7057A,2037D,17
1180,98014C,93060C,20,2037E,98979A,4
1181,70565D,70565E,23,99406A,93060B,9
1182,98014D,27286G,20,23090B,27286A,5
1183,7057B,27286B,15,99406C,23090A,5
1184,98014E,7057D,14,27286R,8383A,10
1185,2037D,7057A,10,70565F,8975B,22
1186,70565D,93060C,15,27286B,2037C,9
1187,23090B,7057B,14,7057D,99406A,17
1188,23090A,27286G,11,8975C,70565E,15
1189,8975B,2037E,18,8383A,2037D,9
1190,7057A,98014D,19,99406C,98979A,12
1191,93060B,98014C,11,27286R,27286A,17
1192,70565F,70565E,25,23090B,98014E,4
1193,27286B,8975B,7,98014D,8975C,19
1194,7057D,93060B,14,23090A,7057A,18
1195,8383A,70565F,6,98014C,27286G,24
1196,2037D,99406C,11,93060C,27286R,21
1197,27286A,98979A,18,98014E,70565D,13
1198,2037C,99406A,6,2037E,7057B,19
1199,99406C,70565E,12,8975B,98014C,18
1200,93060C,8975C,19,70565F,7057D,14
1201,98014E,98014D,5,2037E,93060B,18
1202,2037D,27286G,20,99406A,27286A,5
1203,27286R,23090B,17,27286B,7057A,17
1204,2037C,23090A,8,98979A,8383A,15
1205,98014D,7057D,9,7057B,70565D,12
1206,99406A,27286R,16,99406C,8975C,13
1207,23090A,98014E,5,2037C,27286G,26
1208,7057B,8383A,16,93060C,70565E,20
1209,98014C,70565D,8,27286B,2037D,15
1210,93060B,98979A,9,23090B,8975B,15
1211,27286A,70565F,12,2037E,7057A,19
1212,99406A,98014C,21,98014D,23090A,11
1213,27286G,8975B,18,7057B,27286R,16
1214,70565E,98979A,9,2037D,7057D,19
1215,27286B,7057A,20,98014E,8383A,11
1216,2037E,23090B,14,8975C,70565D,16
1217,70565F,93060B,14,2037C,99406C,17
1218,23090A,8975B,17,27286A,93060C,15
1219,27286R,2037E,20,70565E,98014D,10
1220,98014E,2037D,7,7057B,93060B,23
1221,8383A,27286A,11,99406C,8975C,21
1222,27286B,70565F,21,98979A,99406A,11
1223,70565D,93060C,6,27286G,7057A,17
1224,7057D,2037C,22,98014C,23090B,16
1225,70565E,99406C,11,27286R,8383A,11
1226,70565E,99406C,10,27286R,8383A,13
1227,23090B,23090A,9,27286B,8975C,12
1228,99406A,98014E,6,70565D,70565F,22
1229,98014D,2037D,4,98014C,98979A,20
1230,27286A,93060B,4,7057B,2037C,28
1231,27286R,8383A,8,7057A,7057D,23
1232,70565D,70565F,15,27286B,8975C,13
1233,98014C,98979A,6,93060C,27286G,19
1234,7057B,2037C,18,8975B,2037E,5
1235,70565D,70565F,3,7057A,7057D,28
1236,7057B,2037C,12,93060C,27286G,7
1237,7057B,2037C,6,7057A,7057D,20
1238,10561A,6053C,7,18650A,10173Y,20
1239,3116A,10173T,12,10173X,20785C,13
1240,93568A,10478A,4,10478C,1408F,31
1241,33434B,10173Z,12,72477B,20785A,21
1242,10478B,1408V,20,7975F,1408G,6
1243,21012J,33434A,14,1408S,10173S,14
1244,66618Z,20785B,24,21012D,3116S,11
1245,10478C,10173X,12,7975H,1408V,22
1246,72477B,3116A,18,10561A,6053C,11
1247,18650A,10173S,9,33434B,20785B,20
1248,20785C,66618Z,11,21012J,93568A,12
1249,3116S,1408S,16,10478B,1408F,21
1250,7975H,10173Y,17,10173Z,10478A,14
1251,21012D,7975F,30,33434A,20785A,1
1252,10173S,72477B,13,1408G,10173T,7
1253,18650A,3116S,22,7975H,93568A,11
