,blue1,blue2,bluescore,red1,red2,redscore
521,4154A,7121F,29,33305T,33305E,4
522,9393C,1391A,13,503C,4411S,23
523,61300B,7121E,35,7121G,91104C,4
524,7121C,63724A,24,61300D,89798B,10
525,11476A,4330X,19,11476B,4154A,13
526,33305T,33305E,10,4154B,7121A,24
527,7121F,4330P,30,61300C,9393B,3
528,9393A,503C,8,503A,503B,24
529,7121B,49940A,4,7121D,4411S,35
530,9393C,4330R,8,1391B,4411W,25
531,4154A,7121A,8,1391A,7121E,22
532,89798B,503B,10,33305E,11476A,27
533,9393B,503C,14,49940A,7121G,14
534,503A,4154B,12,7121F,4411W,8
535,91104C,61300D,10,7121B,9393C,26
536,11476B,4330R,20,7121C,33305T,11
537,7121D,1391B,17,61300B,9393A,22
538,4411S,61300C,27,4330X,63724A,8
539,11476A,7121A,22,4330P,61300D,8
540,503A,7121A,19,61300D,33305T,12
541,33305E,9393C,6,4154B,7121C,18
542,4330R,49940A,5,4330P,7121B,29
543,89798B,1391B,8,61300B,7121D,32
544,4411W,1391A,16,11476A,4154A,19
545,63724A,503C,18,4330X,7121G,11
546,11476B,9393A,13,503B,7121F,16
547,503A,7121A,6,4411S,7121E,33
548,4330P,7121B,16,4154B,7121C,11
549,11476A,4154A,4,61300B,7121D,18
550,503B,7121F,17,63724A,503C,16
551,4330P,7121B,10,4411S,7121E,25
552,503B,7121F,12,61300B,7121D,23
553,61300B,7121D,10,4411S,7121E,25
554,8838D,11729A,20,95070A,935R,6
555,3324V,21246X,19,3324A,94065J,7
556,45112A,974D,9,985C,99157A,30
557,95070C,27205A,10,8838C,8153A,23
558,95070B,87895A,12,15234A,56411V,25
559,90069A,2055X,15,6293D,315Y,18
560,94927A,5556C,15,9537D,8838B,17
561,84710B,88909A,9,88909D,88909Y,22
562,27517A,43426B,18,48277B,9537B,9
563,8838E,21246E,24,43426A,5297A,5
564,5297B,21246W,23,83490A,31811C,11
565,5297C,43427A,7,824A,70790A,12
566,311E,7209F,8,1868K,11101A,26
567,83009B,9537C,36,43427C,7209E,0
568,2882R,43427B,9,10182A,7209B,27
569,3141R,88895A,24,9537A,95070D,14
570,88909X,42111N,22,43426C,5297D,13
571,5297A,11729A,11,48277G,8838A,22
572,935R,15234A,21,90069A,95070C,18
573,31811C,8838B,15,974D,21246E,14
574,9537D,8838C,16,5297B,56411V,9
575,70790A,95070A,15,21246W,99157A,14
576,10182A,43426A,10,43427A,43426B,13
577,95070D,11101A,22,3324V,7209E,14
578,27205A,985C,3,3141R,21246X,29
579,94065J,95070B,20,2055X,8838D,12
580,824A,5297D,9,83009B,48277G,17
581,27517A,88909A,15,9537C,2882R,15
582,6293D,8153A,12,42111N,43427B,18
583,8838A,9537A,16,7209F,83490A,6
584,3324A,311E,24,8838E,45112A,12
585,48277B,88909Y,18,5297C,1868K,15
586,315Y,7209B,25,88895A,5556C,8
587,43426C,87895A,25,94927A,84710B,8
588,9537B,88909D,10,88909X,43427C,24
589,3141R,9537D,25,2882R,43427A,2
590,95070C,70790A,19,2055X,43427B,10
591,935R,8153A,18,43426A,824A,12
592,8838A,3324V,20,27205A,974D,14
593,90069A,83490A,18,11729A,5297C,5
594,9537A,43426B,14,88909A,95070B,18
595,8838C,5297A,15,7209B,48277B,19
596,43427C,95070D,16,5297B,84710B,15
597,5297D,15234A,16,7209F,27517A,18
598,83009B,94927A,23,21246W,45112A,13
599,21246E,21246X,14,88909Y,43426C,19
600,31811C,315Y,19,11101A,87895A,8
601,48277G,8838B,11,10182A,985C,24
602,7209E,8838E,22,8838D,6293D,5
603,5556C,99157A,11,94065J,9537B,21
604,56411V,42111N,16,3324A,95070A,19
